plant_name,FIPS,plant_county,plant_state,latitude,longitude,fuel_type,nameplate_capacity_MW,net_generation_MWh,NOx_tons,SO2_tons,CO2_tons,CH4_lbs,N2O_lbs,PM2.5_tons
Titus,42011,Berks,Pennsylvania,40.3056,-75.9081,Oil,261,-1245,0.418,0.24,77.498,6.277,1.255,0.008189544
Tolna,42133,York,Pennsylvania,39.760634,-76.635341,Oil,54,1700,11.489,1.679,2715.462,192.55,38.51,0.098944745
Conemaugh,42063,Indiana,Pennsylvania,40.3842,-79.0611,Coal,1963,11005565,7667.215,4298.79,11459270,2555079.193,371572.668,1183.869804
Blossburg,42117,Tioga,Pennsylvania,41.706475,-77.08184,Gas,24,783,7.798,0.08,2936.896,110.785,11.078,0.137772995
Homer City,42063,Indiana,Pennsylvania,40.512825,-79.196107,Coal,2012,6827882,4374.08,7716.606,7662791,1752090.046,254946.681,4967.736226
Seward,42063,Indiana,Pennsylvania,40.40625,-79.03366,Coal,803.2,1866633,1079.361,5780.317,2095051.312,499966.878,72749.069,107.0568129
Shawville,42033,Clearfield,Pennsylvania,41.06755,-78.366228,Gas,632,271326.001,115.331,1.02,202022.164,7173.255,717.542,28.79105136
Warren,42123,Warren,Pennsylvania,41.835947,-79.188668,Gas,137.1,1930,9.17,0.012,2270.678,101.32,11.227,0.690750831
Keystone,42005,Armstrong,Pennsylvania,40.6604,-79.3411,Coal,1883.2,11005292,7140.326,19806.335,11526240.5,2603169.66,378599.366,7431.392081
New Castle,42073,Lawrence,Pennsylvania,40.937939,-80.369007,Gas,424.4,348070,134.607,1.215,240837.211,9286.531,928.72,14.60030986
TalenEnergy Martin Creek LLC Allentown,42077,Lehigh,Pennsylvania,40.608388,-75.45599,Oil,64,2293,15.908,8.858,2864.732,232.015,46.403,0.302728361
"Brunner Island, LLC",42133,York,Pennsylvania,40.096111,-76.6962,Coal,1624.2,2587597,3134.907,2827.785,2369747.906,405209.909,57619.184,747.5750495
TalenEnergy Martins Creek LLC Fishbach,42107,Schuylkill,Pennsylvania,40.689064,-76.219639,Oil,37,41,0.33,0.185,59.94,4.855,0.971,0.006334168
TalenEnergy Martins Creek LLC Harrisburg,42043,Dauphin,Pennsylvania,40.257865,-76.857897,Oil,64,216,1.563,0.867,280.35,22.705,4.541,0.029625603
TalenEnergy Martins Creek LLC Harwood,42079,Luzerne,Pennsylvania,40.9353,-76.0284,Oil,32,48,0.514,0.284,91.708,7.427,1.485,0.009691105
TalenEnergy Martins Creek LLC Jenkins,42079,Luzerne,Pennsylvania,41.282405,-75.816439,Oil,32,54,0.536,0.299,96.688,7.831,1.566,0.010217514
"Martins Creek, LLC",42095,Northampton,Pennsylvania,40.797762,-75.105416,Gas,2111.9,422145.999,224.678,24.415,307737.531,12521.577,1281.131,26.58075707
"Montour, LLC",42093,Montour,Pennsylvania,41.0714,-76.6672,Coal,1775.1,1055951,603.453,2065.29,1150676.125,280681.692,40876.551,119.3852657
Sunbury Generation LP,42109,Snyder,Pennsylvania,40.8361,-76.825,Oil,490.6,62,0.505,0.244,81.092,6.568,1.314,0.017205099
TalenEnergy Martins Creek LLC West Shore,42041,Cumberland,Pennsylvania,40.1908,-76.94579,Oil,37,84,0.782,0.441,142.666,11.554,2.311,0.01507601
TalenEnergy Martins Creek LLC Williamsport,42081,Lycoming,Pennsylvania,41.2361,-77.00755,Oil,32,55,0.476,0.267,86.4,6.997,1.399,0.009130177
Chester Generating Station,42029,Chester,Pennsylvania,39.8301,-75.3837,Oil,55.8,218.001,2.298,1.32,427.014,34.584,6.917,0.045124475
Delaware Generating Station,42101,Philadelphia,Pennsylvania,39.968021,-75.125203,Oil,392.1,232.001,3.192,1.819,588.135,47.633,9.527,0.062150787
Eddystone Generating Station,42045,Delaware,Pennsylvania,39.858,-75.323,Gas,1568.8,13321,6.166,0.307,12130.738,781.204,110.337,2.358238628
Falls,42017,Bucks,Pennsylvania,40.176486,-74.789976,Oil,63.6,657,5.781,3.299,1067.007,86.417,17.283,0.168488263
Moser Generating Station,42091,Montgomery,Pennsylvania,40.2352,-75.6193,Oil,63.6,597,5.841,3.344,1081.626,87.601,17.52,0.066763803
Richmond,42101,Philadelphia,Pennsylvania,39.984469,-75.075247,Oil,131.6,898,3.353,1.148,928.164,75.14,15.028,0.020169804
Schuylkill Generating Station,42101,Philadelphia,Pennsylvania,39.9419,-75.1883,Oil,232.9,552,4.269,2.432,786.414,63.692,12.738,0.083103595
Southwark,42101,Philadelphia,Pennsylvania,39.9144,-75.135,Oil,74.4,398,2.86,1.634,528.604,42.812,8.562,0.055859768
Hunlock Creek Energy Center,42079,Luzerne,Pennsylvania,41.200556,-76.07,Gas,145.9,108753,6.382,0.278,55089.674,2047.909,204.791,2.86768087
Manchester Street Station,44007,Providence,Rhode Island,41.8167,-71.4042,Gas,515,1484595,188.246,3.979,750418.75,26536.544,2664.897,13.95644501
Darlington County,45031,Darlington,South Carolina,34.4185,-80.1657,Gas,1045.8,21079.999,32.062,1.74,20937.928,911.998,116.789,0.45745966
W S Lee,45007,Anderson,South Carolina,34.6022,-82.435,Gas,1403.2,5272034,186.546,11.298,2238171.397,81884.709,8201.041,0.619914922
Coit GT,45079,Richland,South Carolina,33.980254,-81.04067,Gas,39.2,316,0.54,0.006,392.806,29.139,5.062,0.018426943
Hagood,45019,Charleston,South Carolina,32.8265,-79.9634,Gas,177.3,13230,11.711,0.051,8984.903,464.173,59.751,0.501190382
