cnty_fips,display_name,Value
5131,"""Sebastian, (AR)""",300.3
5133,"""Sevier, (AR)""",262.7
5143,"""Washington, (AR)""",378.3
8001,"""Adams, (CO)""",183
8003,"""Alamosa, (CO)""",224.3
8005,"""Arapahoe, (CO)""",158.5
8009,"""Baca, (CO)""",206.6
8011,"""Bent, (CO)""",237.5
8013,"""Boulder, (CO)""",153.3
8014,"""Broomfield, (CO)""",151.1
8015,"""Chaffee, (CO)""",137.4
8017,"""Cheyenne, (CO)""",172.2
8019,"""Clear Creek, (CO)""",157.8
8021,"""Conejos, (CO)""",207.1
8023,"""Costilla, (CO)""",162.1
8025,"""Crowley, (CO)""",191.6
8027,"""Custer, (CO)""",171.3
8031,"""Denver, (CO)""",180.1
8035,"""Douglas, (CO)""",122.8
8037,"""Eagle, (CO)""",85.3
8039,"""Elbert, (CO)""",161.7
8041,"""El Paso, (CO)""",193.8
8043,"""Fremont, (CO)""",208.1
8047,"""Gilpin, (CO)""",167.3
8049,"""Grand, (CO)""",109.4
8055,"""Huerfano, (CO)""",187.2
8057,"""Jackson, (CO)""",151.9
8059,"""Jefferson, (CO)""",183.3
8061,"""Kiowa, (CO)""",217.5
8063,"""Kit Carson, (CO)""",168.7
8065,"""Lake, (CO)""",92.3
8069,"""Larimer, (CO)""",161.5
8071,"""Las Animas, (CO)""",187.6
8073,"""Lincoln, (CO)""",184.2
8075,"""Logan, (CO)""",181.1
8087,"""Morgan, (CO)""",179.8
8089,"""Otero, (CO)""",238.9
8093,"""Park, (CO)""",129.2
8095,"""Phillips, (CO)""",185.1
8099,"""Prowers, (CO)""",196.7
8101,"""Pueblo, (CO)""",181.6
8105,"""Rio Grande, (CO)""",196.2
8109,"""Saguache, (CO)""",134.7
8115,"""Sedgwick, (CO)""",188.2
8117,"""Summit, (CO)""",73.3
8119,"""Teller, (CO)""",166
8121,"""Washington, (CO)""",167.4
8123,"""Weld, (CO)""",171.5
8125,"""Yuma, (CO)""",173.3
19001,"""Adair, (IA)""",198.7
19003,"""Adams, (IA)""",253.8
19009,"""Audubon, (IA)""",217.2
19015,"""Boone, (IA)""",223.6
19021,"""Buena Vista, (IA)""",219.3
19025,"""Calhoun, (IA)""",225.6
19027,"""Carroll, (IA)""",216.3
19029,"""Cass, (IA)""",239.6
19035,"""Cherokee, (IA)""",206.4
19039,"""Clarke, (IA)""",238.8
19041,"""Clay, (IA)""",218
19047,"""Crawford, (IA)""",210.3
19049,"""Dallas, (IA)""",176.4
19053,"""Decatur, (IA)""",252.8
19059,"""Dickinson, (IA)""",217.8
19063,"""Emmet, (IA)""",210.7
19071,"""Fremont, (IA)""",209.2
19073,"""Greene, (IA)""",235.5
19077,"""Guthrie, (IA)""",210.6
19079,"""Hamilton, (IA)""",212.6
19081,"""Hancock, (IA)""",225.9
19085,"""Harrison, (IA)""",213.8
19091,"""Humboldt, (IA)""",243
19093,"""Ida, (IA)""",220.1
19109,"""Kossuth, (IA)""",224.3
19119,"""Lyon, (IA)""",178.2
19121,"""Madison, (IA)""",199.8
19129,"""Mills, (IA)""",183.4
19133,"""Monona, (IA)""",279.4
19137,"""Montgomery, (IA)""",266.9
19141,"""O'Brien, (IA)""",219.2
19143,"""Osceola, (IA)""",187.7
19145,"""Page, (IA)""",245.5
19147,"""Palo Alto, (IA)""",219.5
19149,"""Plymouth, (IA)""",151.8
19151,"""Pocahontas, (IA)""",244
19155,"""Pottawattamie, (IA)""",216.3
19159,"""Ringgold, (IA)""",249.3
19161,"""Sac, (IA)""",214.8
19165,"""Shelby, (IA)""",218.9
19167,"""Sioux, (IA)""",146.1
19173,"""Taylor, (IA)""",244.7
19175,"""Union, (IA)""",232.1
19187,"""Webster, (IA)""",283.1
19189,"""Winnebago, (IA)""",218.7
19193,"""Woodbury, (IA)""",216.4
19197,"""Wright, (IA)""",243.6
20001,"""Allen, (KS)""",243.7
20003,"""Anderson, (KS)""",244.7
20005,"""Atchison, (KS)""",213.6
20007,"""Barber, (KS)""",284.9
20009,"""Barton, (KS)""",227.3
20011,"""Bourbon, (KS)""",249.8
20013,"""Brown, (KS)""",296.3
