FIPS,air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate
48501,6.2,67000.0,7.3,88.2,30.8,7.0,31.6,32.9,22.0,19.1,10.8,17.0,7.8
48503,6.9,55000.0,7.9,76.4,15.2,11.6,37.9,38.0,22.3,22.1,14.8,18.9,4.5
56001,3.9,59000.0,6.8,44.7,4.1,3.2,22.8,23.7,26.0,16.8,15.3,13.3,3.3
56005,4.1,85000.0,7.2,80.3,6.7,3.8,27.5,27.4,31.4,24.5,7.3,20.0,5.3
56009,2.6,79000.0,9.2,80.3,8.2,4.0,32.1,32.6,26.8,25.3,8.2,18.1,4.9
56011,4.1,67000.0,6.7,75.9,6.9,1.7,34.0,32.9,28.0,27.6,7.3,16.7,3.4
56015,3.7,51000.0,7.4,74.4,8.3,4.3,34.6,32.7,29.5,24.3,12.8,16.9,3.5
56019,3.8,63000.0,6.4,66.9,4.9,2.5,34.1,33.7,27.3,20.1,8.9,16.3,4.1
56021,5.5,69000.0,8.7,69.8,5.9,4.9,28.9,28.1,28.4,21.9,7.4,17.6,4.0
56027,3.2,53000.0,7.1,82.8,8.9,5.4,35.2,31.0,29.7,26.8,12.6,21.0,3.6
56031,4.2,60000.0,7.3,80.7,8.1,4.6,36.4,33.5,25.8,24.0,9.9,17.3,4.0
56045,3.0,59000.0,8.1,82.8,6.7,3.7,35.2,32.6,33.8,23.6,10.6,19.5,3.2
16003,5.6,50000.0,8.4,81.2,7.2,6.5,39.4,37.9,27.2,19.0,13.7,15.8,6.6
16009,7.9,53000.0,7.1,82.1,11.8,10.2,37.1,35.5,21.9,18.7,12.5,18.3,5.6
16017,9.2,55000.0,7.7,73.4,8.5,7.7,35.6,36.5,22.0,19.3,12.6,15.8,4.8
16021,6.5,52000.0,7.2,82.0,7.8,8.4,36.9,34.4,23.7,18.7,14.0,17.2,4.4
16035,8.1,45000.0,9.1,82.7,8.1,7.7,38.1,34.3,26.4,18.6,14.0,16.8,6.5
16049,7.5,51000.0,7.9,79.3,7.8,6.1,39.0,36.5,27.4,25.3,13.1,15.8,4.9
16055,10.4,67000.0,8.1,73.4,6.0,7.6,32.5,31.4,29.5,19.1,8.6,15.1,4.3
16057,8.5,60000.0,6.5,55.6,3.6,4.9,24.7,26.2,25.1,16.6,15.3,13.0,3.3
16059,11.8,49000.0,6.1,76.6,8.0,8.7,38.2,34.6,32.1,18.6,15.3,15.9,5.3
16061,7.6,52000.0,9.5,80.9,10.9,12.7,40.9,37.6,25.2,24.8,12.9,17.3,5.7
16069,8.2,58000.0,10.6,75.9,7.3,8.3,33.2,31.8,30.1,22.4,11.6,15.2,3.3
16079,9.3,44000.0,8.5,89.4,13.3,14.7,39.0,36.8,28.4,25.2,14.4,19.9,6.6
16085,5.7,63000.0,5.4,69.7,8.4,4.3,32.9,33.2,17.0,14.9,8.7,14.7,5.3
27005,3.8,60000.0,7.2,74.3,7.0,8.8,33.3,34.5,29.4,24.6,11.4,18.3,3.4
27007,4.9,58000.0,7.9,70.1,7.7,14.8,28.8,30.1,33.2,20.9,12.1,21.2,3.7
27009,6.4,70000.0,8.3,76.9,8.7,8.2,28.1,28.8,34.6,21.1,6.9,18.7,4.3
27011,6.7,55000.0,6.9,81.8,7.8,7.5,37.8,35.4,28.6,23.0,10.9,18.0,3.5
27019,7.0,108000.0,8.1,50.9,3.6,2.5,25.1,28.3,26.7,17.7,3.5,12.4,2.7
27021,5.9,52000.0,8.1,75.0,6.6,13.5,37.7,35.0,28.7,21.7,12.6,19.0,4.4
27023,6.3,63000.0,9.3,80.3,10.9,7.5,34.0,33.3,24.6,19.9,9.3,18.5,3.0
27027,6.0,74000.0,7.0,65.8,4.7,10.2,27.8,26.7,31.9,19.3,8.8,16.9,2.7
